Wholesaler License Serial Number,License Type Name,Brand Label Serial Number,Brand Label Name,License Class Description,Product Description,Wholesaler Name,Domestic or Imported,Latitude,Longitude,City
1296995,WHOLESALE BEER(CO),5148431,LAWSONS FINEST LIQUIDS SUPER SESSION,BEER & LAGER,ALE,SARENE CRAFT BEER DISTRIBUTORS LLC,D,0,0,BRONX
2504772,WHOLESALE BEER(C),5133474,10 BARREL BREWING APOCALYPSE IPA,BEER & LAGER,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5153671,10 BARREL BREWING CLOUDCHASER,BEER & LAGER,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5156542,10 BARREL BREWING CO. YOUNG SQUEEZY,BEER & LAGER,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5135000,10 BARREL BREWING GIGANTOR NW RED ALE,BEER & LAGER,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5149447,10 BARREL BREWING GOGGLE TAN,BEER & LAGER,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5133472,10 BARREL BREWING JOE IPA,BEER & LAGER,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5153672,10 BARREL BREWING LIL SQUEEZY IPA,BEER & LAGER,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5147837,10 BARREL BREWING MAINE SQUEEZE,BEER & LAGER,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5153673,10 BARREL BREWING PEARL IPA,BEER & LAGER,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5133473,10 BARREL BREWING PRAY FOR SNOW,BEER & LAGER,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5135883,10 BARREL BREWING RIDING SOLO,BEER & LAGER,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
