Wholesaler License Serial Number,License Type Name,Brand Label Serial Number,Brand Label Name,License Class Description,Product Description,Wholesaler Name,Domestic or Imported,Latitude,Longitude,City
1296995,WHOLESALE BEER(CO),5148431,LAWSONS FINEST LIQUIDS SUPER SESSION,ALE,#8 ALE,SARENE CRAFT BEER DISTRIBUTORS LLC,D,0,0,BRONX
1010716,WHOLESALE BEER(C),5155889,VICTORY WILD DEVIL RED WINE BARREL,ALE,AGED BRETT IPA ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
2504772,WHOLESALE BEER(C),5133474,10 BARREL BREWING APOCALYPSE IPA,ALE,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5153671,10 BARREL BREWING CLOUDCHASER,ALE,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5156542,10 BARREL BREWING CO. YOUNG SQUEEZY,ALE,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5135000,10 BARREL BREWING GIGANTOR NW RED ALE,ALE,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5149447,10 BARREL BREWING GOGGLE TAN,ALE,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5133472,10 BARREL BREWING JOE IPA,ALE,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5153672,10 BARREL BREWING LIL SQUEEZY IPA,ALE,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5147837,10 BARREL BREWING MAINE SQUEEZE,ALE,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5153673,10 BARREL BREWING PEARL IPA,ALE,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5133473,10 BARREL BREWING PRAY FOR SNOW,ALE,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5135883,10 BARREL BREWING RIDING SOLO,ALE,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5145598,10 BARREL BREWING SINISTOR BLACK,ALE,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5153949,10 BARREL BREWING TRAIL BEER,ALE,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2004108,WHOLESALE BEER(C),5157316,14TH STAR BREWING FOLLOW ME IPA,ALE,ALE,MC CADAM DISTRIBUTING INC,D,44.72915398,-73.46985838,PLATTSBURGH
2004108,WHOLESALE BEER(C),5157314,14TH STAR BREWING RECRUIT,ALE,ALE,MC CADAM DISTRIBUTING INC,D,44.72915398,-73.46985838,PLATTSBURGH
2004108,WHOLESALE BEER(C),5157313,14TH STAR BREWING TRIBUTE,ALE,ALE,MC CADAM DISTRIBUTING INC,D,44.72915398,-73.46985838,PLATTSBURGH
2004108,WHOLESALE BEER(C),5157317,14TH STAR BREWING VALOR ALE,ALE,ALE,MC CADAM DISTRIBUTING INC,D,44.72915398,-73.46985838,PLATTSBURGH
2202106,MICRO BREWER,5154403,"212 BREWING COMPANY ""FLATIRON ALE""",ALE,ALE,EMPIRE FARMSTEAD BREWERY INC,D,42.92086,-75.86302,CAZENOVIA
1010712,WHOLESALE BEER(C),5151614,21ST AMENDMENT BACK IN BLACK,ALE,ALE,"BROOKLYN BREWERY CORP, THE",D,40.72174011,-73.95797497,BROOKLYN
1010712,WHOLESALE BEER(C),5151610,21ST AMENDMENT BLAH BLAH BLAH IPA,ALE,ALE,"BROOKLYN BREWERY CORP, THE",D,40.72174011,-73.95797497,BROOKLYN
1010712,WHOLESALE BEER(C),5156569,21ST AMENDMENT BREWERY A TERRIBLE IDEA,ALE,ALE,"BROOKLYN BREWERY CORP, THE",D,40.72174011,-73.95797497,BROOKLYN
1010712,WHOLESALE BEER(C),5156568,21ST AMENDMENT BREWERY TASTY IPA,ALE,ALE,"BROOKLYN BREWERY CORP, THE",D,40.72174011,-73.95797497,BROOKLYN
1010712,WHOLESALE BEER(C),5151615,21ST AMENDMENT DOWN TO EARTH,ALE,ALE,"BROOKLYN BREWERY CORP, THE",D,40.72174011,-73.95797497,BROOKLYN
2187970,WHOLESALE BEER(CO),5150732,ABITA HOP-ON,ALE,ALE,CRAFT BEER GUILD DISTRIBUTING OF NEW YORK LLC ,D,41.73976662,-74.06848564,NEW PALTZ
1010716,WHOLESALE BEER(C),5118980,ABITA MARDI GRAS BOCK SEASONAL,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
1010716,WHOLESALE BEER(C),5128228,ABITA WROUGHT IRON IPA,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
1010716,WHOLESALE BEER(C),5112721,ALESMITH IPA,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
1010716,WHOLESALE BEER(C),5121579,ALESMITH NUT BROWN ENGLISH STYLE ALE,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
1010716,WHOLESALE BEER(C),5139200,ALESMITH SAN DIEGO PALE ALE .394,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
2504772,WHOLESALE BEER(C),5114966,ALEXANDER KEITHS NOVA SCOTIA BROWN,ALE,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
2504772,WHOLESALE BEER(C),5114967,ALEXANDER KEITHS NOVA SCOTIA PALE,ALE,ALE,ANHEUSER BUSCH LLC,D,43.16538732,-76.31037514,BALDWINSVILLE
1010716,WHOLESALE BEER(C),5109121,ALLAGASH BLACK,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
1010716,WHOLESALE BEER(C),5107953,ALLAGASH HUGH MALONE,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
1010716,WHOLESALE BEER(C),5123770,ALLAGASH SAISON ALE,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
1010716,WHOLESALE BEER(C),5136901,ALLAGASH SIXTEEN COUNTIES,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
1010716,WHOLESALE BEER(C),5104514,ALLAGASH TRIPEL,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
2010295,WHOLESALE BEER(CO),5143163,ANCHOR BARREL AGED BARLEYWINE,ALE,ALE,OAK BEVERAGE INC,D,0,0,BLAUVELT
2010295,WHOLESALE BEER(CO),5133349,ANCHOR BARREL ALE,ALE,ALE,OAK BEVERAGE INC,D,0,0,BLAUVELT
1290136,WHOLESALE BEER(CO),5155847,ANCHOR BREWING BREWER'S PALE ALE,ALE,ALE,SAPPORO USA INC,D,40.75538,-73.9811,NEW YORK
1290136,WHOLESALE BEER(CO),5155842,ANCHOR BREWING GO WEST! IPA,ALE,ALE,SAPPORO USA INC,D,40.75538,-73.9811,NEW YORK
1290136,WHOLESALE BEER(CO),5155840,ANCHOR BREWING LIBERTY ALE,ALE,ALE,SAPPORO USA INC,D,40.75538,-73.9811,NEW YORK
2010295,WHOLESALE BEER(CO),5138903,ANCHOR DRY HOPPED STEAM,ALE,ALE,OAK BEVERAGE INC,D,0,0,BLAUVELT
2010295,WHOLESALE BEER(CO),5158448,ANCHOR FOG BREAKER IPA,ALE,ALE,OAK BEVERAGE INC,D,0,0,BLAUVELT
2010295,WHOLESALE BEER(CO),5142075,ANCHOR LIBERTY IPA,ALE,ALE,OAK BEVERAGE INC,D,0,0,BLAUVELT
1010716,WHOLESALE BEER(C),5129131,ANDERSON VALLEY BLOOD ORANGE GOSE,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
1010716,WHOLESALE BEER(C),5111618,ANDERSON VALLEY BOONT AMBER ALE,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
1010716,WHOLESALE BEER(C),5111620,ANDERSON VALLEY HOP OTTIN IPA,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
1010716,WHOLESALE BEER(C),5137969,AVERY ELLIES,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
1010716,WHOLESALE BEER(C),5154439,AVERY GO PLAY IPA,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
1010716,WHOLESALE BEER(C),5137967,AVERY IPA,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
1010716,WHOLESALE BEER(C),5137970,AVERY MAHARAJA IMPERIAL,ALE,ALE,U B DISTRIBUTORS LLC,D,40.7152748,-73.92765792,BROOKLYN
1270256,WHOLESALE BEER(C),5142475,BALLAST POINT BONITO,ALE,ALE,MANHATTAN BEER DISTRIBUTORS ,D,40.8103426,-73.90316025,BRONX
1270256,WHOLESALE BEER(C),5149140,BALLAST POINT FATHOM,ALE,ALE,MANHATTAN BEER DISTRIBUTORS ,D,40.8103426,-73.90316025,BRONX
1270256,WHOLESALE BEER(C),5136447,BALLAST POINT SCULPIN,ALE,ALE,MANHATTAN BEER DISTRIBUTORS ,D,40.8103426,-73.90316025,BRONX
2187970,WHOLESALE BEER(CO),5151197,BAXTER BREWING HOP TRYST IPA,ALE,ALE,CRAFT BEER GUILD DISTRIBUTING OF NEW YORK LLC ,D,41.73976662,-74.06848564,NEW PALTZ
2187970,WHOLESALE BEER(CO),5129544,BAXTER BREWING PAMOLA XTRA PALE ALE,ALE,ALE,CRAFT BEER GUILD DISTRIBUTING OF NEW YORK LLC ,D,41.73976662,-74.06848564,NEW PALTZ
2187970,WHOLESALE BEER(CO),5129546,BAXTER BREWING STOWAWAY IPA,ALE,ALE,CRAFT BEER GUILD DISTRIBUTING OF NEW YORK LLC ,D,41.73976662,-74.06848564,NEW PALTZ
